"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"Grant, KS","7,284","6.4%","$146,246","0.0%","39"
"Grant, NM","27,856","-5.7%","$192,009","16.3%","73"
"Gila, AZ","53,610","-0.9%","$392,668","28.6%","60"
"Beaver, OK","5,041","-2.1%","$143,668","25.0%","104"
"Morgan, MO","21,430","3.1%","$296,810","34.0%","49"
"Morgan, CO","29,186","1.3%","$330,211","24.1%","66"
"Morgan, IL","32,621","1.2%","$129,133","14.1%","33"
"Greene, AR","46,182","1.0%","$188,470","12.2%","53"
"Greene, MO","304,611","1.9%","$251,973","20.1%","42"
"Greene, IL","11,837","-0.8%","$115,704","11.1%","68"
"Schuyler, MO","4,044","6.5%","$144,336","0.0%","60"
"Schuyler, IL","6,826","-5.8%","$157,031","0.0%","63"
"Washington, OK","52,895","4.9%","$177,803","27.3%","55"
"Washington, CO","4,839","5.7%","$254,573","16.0%","107"
"Washington, MS","43,674","-19.5%","$57,743","23.5%","89"
"Washington, LA","45,238","1.0%","$125,769","29.6%","68"
"Washington, AR","261,549","2.8%","$342,773","20.2%","46"
"Washington, KS","5,519","16.5%","$156,343","0.0%","141"
"Washington, TX","36,156","-0.8%","$365,076","29.8%","74"
"Washington, MO","23,483","4.3%","$174,530","32.2%","42"
"Tate, MS","28,135","0.7%","$237,953","24.6%","57"
"Stoddard, MO","28,547","2.9%","$150,965","19.2%","59"
"Butler, KS","68,632","5.0%","$242,616","19.4%","44"
"Butler, MO","42,166","2.6%","$163,383","24.8%","59"
"Cross, AR","16,681","-2.9%","$136,045","25.5%","72"
"Humphreys, MS","7,570","2.9%","$78,463","0.0%","112"
"Phillips, CO","4,491","4.1%","$251,814","14.8%","83"
"Phillips, KS","4,874","8.8%","$107,467","19.0%","80"
"Phillips, AR","15,910","-1.9%","$52,438","18.6%","100"
"Warren, MO","36,467","4.6%","$330,726","13.8%","38"
"Warren, MS","43,623","0.5%","$150,110","11.1%","78"
"Shelby, TN","910,042","-0.2%","$221,164","28.4%","54"
"Shelby, TX","24,108","0.7%","$245,377","23.5%","107"
"Shelby, MO","6,011","9.3%","$175,083","0.0%","99"
"Miller, AR","42,588","-2.3%","$165,693","27.6%","65"
"Miller, MO","25,081","5.0%","$269,108","27.3%","47"
"Decatur, KS","2,746","3.4%","$99,650","0.0%","36"
"Decatur, IA","7,669","1.8%","$147,942","11.1%","66"
"DeKalb, MO","11,176","4.9%","$222,488","14.2%","67"
"Clinton, MO","21,259","5.9%","$278,546","19.4%","51"
"Nodaway, MO","20,959","2.8%","$225,434","10.2%","75"
"Miami, KS","34,625","5.0%","$367,931","29.5%","41"
"Anderson, TX","57,825","-1.3%","$205,715","27.4%","67"
"Anderson, KS","7,819","5.3%","$174,475","35.2%","80"
"Jackson, KS","13,277","5.5%","$235,114","11.7%","47"
"Jackson, MO","718,560","1.5%","$243,624","23.3%","45"
"Jackson, TX","15,081","-3.3%","$216,700","20.0%","68"
"Jackson, OK","24,730","2.5%","$107,711","18.5%","63"
"Jackson, LA","14,939","-0.6%","$105,595","13.7%","52"
"Jackson, AR","16,775","0.8%","$87,599","20.5%","62"
"Cleburne, AR","25,048","3.0%","$253,603","19.2%","63"
"Pulaski, AR","400,009","0.9%","$204,384","25.6%","49"
"Pulaski, MO","53,850","3.1%","$221,652","19.2%","39"
"Van Buren, IA","7,236","6.7%","$157,873","20.0%","79"
"Van Buren, AR","15,936","0.3%","$165,082","19.4%","61"
"Saline, KS","53,801","2.1%","$175,242","14.3%","52"
"Saline, MO","23,177","2.2%","$174,667","20.0%","45"
"Saline, NE","14,642","7.0%","$214,398","21.4%","34"
"Saline, AR","129,574","1.2%","$250,500","24.5%","46"
"Cherokee, TX","51,143","1.1%","$237,774","22.5%","61"
"Cherokee, OK","47,621","1.8%","$195,743","28.8%","61"
"Cherokee, KS","19,236","7.0%","$115,268","23.7%","74"
"Ottawa, KS","5,782","7.6%","$164,999","22.2%","87"
"Ottawa, OK","30,360","5.7%","$132,128","18.6%","58"
"Mayes, OK","39,406","1.1%","$210,010","16.2%","57"
"Ashley, AR","18,722","-8.7%","$80,582","19.0%","71"
"Cleveland, OK","301,193","2.4%","$250,980","25.7%","43"
"Cleveland, AR","7,491","-4.8%","$152,426","25.0%","117"
"Rapides, LA","126,260","3.7%","$163,451","21.4%","75"
"Lincoln, AR","12,966","2.0%","$119,551","22.8%","64"
"Lincoln, MO","61,636","3.4%","$295,689","19.7%","32"
"Lincoln, KS","2,924","5.0%","$118,179","0.0%","73"
"Lincoln, CO","5,561","2.0%","$247,950","9.5%","25"
"Lincoln, NM","20,227","-3.0%","$354,769","19.0%","78"
"Lincoln, OK","33,917","4.4%","$184,197","29.5%","59"
"Lincoln, MS","34,830","2.4%","$176,844","15.5%","85"
"Lincoln, LA","48,160","1.1%","$215,507","20.2%","48"
"Angelina, TX","87,319","0.5%","$200,188","23.2%","61"
"Iberia, LA","67,659","-6.9%","$132,001","28.1%","70"
"Allen, KS","12,491","2.8%","$103,760","32.6%","71"
"Allen, LA","22,552","4.4%","$126,112","10.2%","107"
"Jasper, MO","125,056","3.6%","$215,609","18.7%","39"
"Jasper, TX","32,807","0.5%","$187,813","22.7%","92"
"Polk, MO","32,109","4.6%","$270,865","25.0%","46"
"Polk, AR","19,348","7.3%","$181,114","17.1%","89"
"Polk, TX","51,780","1.0%","$182,732","25.1%","66"
"Fremont, CO","49,394","2.6%","$346,950","28.9%","58"
"Fremont, IA","6,570","4.8%","$165,105","25.0%","46"
"Coffey, KS","8,304","6.8%","$179,983","10.0%","66"
"Chase, NE","3,639","2.3%","$199,387","19.0%","59"
"Chase, KS","2,579","3.8%","$148,855","0.0%","53"
"Geary, KS","35,895","9.7%","$200,278","20.7%","37"
"Marion, MS","24,303","2.2%","$133,355","11.2%","56"
"Marion, TX","9,631","3.1%","$144,626","37.8%","71"
"Marion, AR","17,076","-0.0%","$218,621","25.1%","70"
"Marion, MO","28,493","8.7%","$181,838","20.2%","46"
"Marion, KS","11,795","1.4%","$132,825","18.1%","54"
"Clay, NE","6,084","5.1%","$171,561","11.4%","75"
"Clay, AR","14,399","4.7%","$108,607","18.6%","109"
"Clay, MO","259,772","1.8%","$315,014","15.7%","46"
"Clay, TX","10,402","0.7%","$201,116","26.2%","65"
"Clay, KS","8,071","1.9%","$147,278","22.2%","52"
"Fillmore, NE","5,551","5.8%","$169,349","0.0%","57"
"Thayer, NE","4,938","6.4%","$141,620","0.0%","64"
"Nuckolls, NE","4,089","-0.6%","$107,431","0.0%","54"
"Stafford, KS","4,004","2.8%","$93,239","0.0%","81"
"Osborne, KS","3,473","11.2%","$78,199","0.0%","106"
"Pawnee, OK","15,689","4.5%","$165,710","24.6%","53"
"Pawnee, NE","2,539","0.1%","$147,073","0.0%","45"
"Pawnee, KS","6,220","7.8%","$96,104","15.6%","82"
"Greenwood, KS","5,956","2.9%","$86,951","26.6%","63"
"Hughes, OK","13,411","3.7%","$106,564","17.3%","69"
"Logan, KS","2,720","12.6%","$140,958","0.0%","74"
"Logan, AR","21,240","5.9%","$161,086","19.7%","67"
"Logan, OK","50,905","0.6%","$295,709","26.3%","51"
"Hopkins, TX","37,351","-3.0%","$263,489","33.1%","62"
"Madison, IL","262,752","3.3%","$187,890","22.2%","39"
"Madison, MS","112,511","1.0%","$331,623","20.8%","64"
"Madison, AR","17,032","4.7%","$260,142","17.9%","63"
"Madison, LA","9,757","6.1%","$79,443","0.0%","68"
"Madison, MO","12,665","3.3%","$168,117","21.6%","70"
"Madison, TX","13,574","4.6%","$283,600","18.1%","73"
"Atoka, OK","14,255","8.2%","$209,800","11.1%","55"
"Fannin, TX","36,525","1.3%","$286,528","27.5%","62"
"Johnston, OK","10,334","3.2%","$145,719","36.3%","66"
"Johnson, KS","622,237","1.8%","$448,420","11.9%","49"
"Johnson, AR","25,932","1.1%","$178,386","21.7%","68"
"Johnson, NE","5,263","7.3%","$156,850","0.0%","51"
"Johnson, MO","54,331","0.5%","$272,006","25.0%","53"
"Johnson, TX","202,906","-0.7%","$346,956","32.9%","53"
"Jefferson, NE","7,155","3.6%","$139,724","16.6%","57"
"Jefferson, CO","576,366","-0.2%","$653,209","39.9%","36"
"Jefferson, MS","7,127","0.6%","$113,974","44.4%","127"
"Jefferson, KS","18,391","4.6%","$261,849","23.5%","49"
"Jefferson, LA","421,777","-3.2%","$245,737","25.5%","58"
"Jefferson, TX","251,496","1.2%","$162,066","26.6%","58"
"Jefferson, MO","231,230","3.3%","$280,492","18.3%","36"
"Jefferson, AR","63,661","-3.0%","$85,361","28.1%","65"
"Jefferson, OK","5,377","4.0%","$84,888","20.0%","100"
"Stephens, OK","43,314","3.0%","$135,672","20.3%","60"
"Stephens, TX","9,278","-3.0%","$155,450","6.5%","89"
"Coleman, TX","7,765","-5.2%","$128,295","4.6%","88"
"Walker, TX","81,268","0.1%","$270,012","22.0%","59"
"Waller, TX","59,455","0.7%","$382,813","21.5%","43"
"Robertson, TX","16,973","2.5%","$261,498","14.9%","82"
"Calhoun, IL","4,406","-1.2%","$192,455","19.0%","61"
"Calhoun, AR","4,717","-1.8%","$133,784","23.5%","85"
"Calhoun, TX","19,921","-0.4%","$199,808","20.4%","90"
"Brooks, TX","6,987","8.0%","$68,255","50.0%","112"
"Wichita, TX","130,180","2.0%","$167,677","31.2%","54"
"Wichita, KS","2,115","8.5%","$146,024","0.0%","183"
"Childress, TX","6,772","2.8%","$104,552","0.0%","125"
"Collingsworth, TX","2,733","2.0%","$96,179","0.0%","131"
"Roberts, TX","785","-","-","0.0%","35"
"Ochiltree, TX","9,852","-4.7%","$115,872","19.0%","71"
"Seward, KS","21,640","3.9%","$142,329","6.7%","66"
"Stanton, KS","2,018","6.8%","$139,327","0.0%","354"
"Sherman, KS","5,919","4.0%","$144,076","11.1%","38"
"Sherman, TX","2,434","-1.5%","$174,287","0.0%","47"
"Baca, CO","3,460","-","-","22.2%","40"
"Foard, TX","1,079","-15.3%","$77,536","0.0%","280"
"Jones, TX","19,968","-1.0%","$139,524","14.1%","81"
"Fisher, TX","3,661","-7.2%","$95,187","0.0%","106"
"Andrews, TX","18,518","5.3%","$248,191","35.0%","37"
"Loving, TX","54","-","-","-","-"
"Uvalde, TX","24,810","2.0%","$196,707","11.9%","85"
"Summit, CO","30,857","-1.4%","$1,008,082","10.5%","58"
"Mora, NM","4,176","-","-","0.0%","150"
"Los Alamos, NM","19,374","5.5%","$596,253","34.0%","40"
"Valencia, NM","79,141","3.5%","$313,159","20.7%","62"
"Reeves, TX","13,219","-6.8%","$166,450","30.7%","95"
"Uintah, UT","36,458","4.6%","$343,801","22.2%","53"
"Salt Lake, UT","1,185,813","2.2%","$572,033","36.8%","44"
"La Plata, CO","56,088","2.6%","$667,762","17.5%","48"
"Hidalgo, TX","898,471","-0.2%","$191,602","18.0%","71"
"Hidalgo, NM","4,097","-1.4%","$113,450","0.0%","132"
"Greenlee, AZ","9,452","-7.5%","$161,180","50.0%","54"
"Graham, KS","2,406","9.9%","$100,927","0.0%","44"
"Graham, AZ","38,860","4.4%","$290,196","25.2%","71"
"Davis, IA","9,127","6.9%","$224,327","11.1%","93"
"Burlington, NJ","469,167","4.0%","$415,056","17.3%","26"
"Cape May, NJ","94,610","3.9%","$759,142","18.4%","59"
"Lebanon, PA","144,252","4.9%","$301,242","9.1%","44"
"Charles, MD","171,973","2.1%","$457,281","20.6%","30"
"Stafford, VA","165,428","4.5%","$542,960","19.1%","26"
"Loudoun, VA","436,347","4.7%","$814,730","24.6%","23"
"Mathews, VA","8,517","2.7%","$334,618","12.3%","38"
"Chowan, NC","13,814","2.8%","$221,895","13.7%","64"
"Prince George, VA","42,873","4.3%","$346,339","16.3%","43"
"Hopewell, VA","22,944","2.2%","$211,162","27.5%","30"
"Hampshire, WV","23,340","7.2%","$249,352","16.6%","33"
"Augusta, VA","78,247","4.7%","$349,895","16.2%","42"
"Harrisonburg, VA","51,492","2.3%","$311,319","9.8%","23"
"Upshur, WV","23,758","6.8%","$152,555","17.9%","55"
"Wetzel, WV","14,233","3.0%","$108,349","18.1%","44"
"Muskingum, OH","86,305","5.3%","$202,686","29.9%","48"
"Harnett, NC","141,477","1.5%","$291,308","20.8%","52"
"Lynchburg, VA","79,535","2.2%","$244,463","17.4%","42"
"Scotland, NC","34,353","-0.8%","$136,813","21.8%","69"
"Roanoke, VA","97,026","4.0%","$323,811","22.4%","39"
"Roanoke, VA","97,171","2.9%","$215,469","38.5%","43"
"Surry, VA","6,552","1.1%","$278,793","11.1%","31"
"Surry, NC","71,462","4.6%","$212,886","32.6%","45"
"Smyth, VA","29,585","3.3%","$153,056","26.6%","52"
"Watauga, NC","54,607","1.5%","$513,472","18.8%","55"
"Avery, NC","17,643","0.4%","$383,908","19.5%","57"
"Charleston, SC","424,367","2.5%","$612,756","34.4%","46"
"Marlboro, SC","26,285","-8.8%","$84,891","10.5%","51"
"Bulloch, GA","84,327","4.5%","$277,204","18.8%","53"
"Edgefield, SC","26,508","3.1%","$251,935","14.6%","103"
"Pierce, GA","19,996","2.7%","$179,340","13.7%","56"
"Manatee, FL","441,095","-6.1%","$433,948","33.3%","73"
"Hernando, FL","212,807","-2.4%","$315,690","32.9%","63"
"Okeechobee, FL","40,249","2.6%","$286,044","25.8%","78"
"Scioto, OH","71,969","6.2%","$125,814","21.5%","35"
"Pickaway, OH","59,407","2.2%","$317,941","26.1%","46"
"Dearborn, IN","50,828","4.2%","$317,244","36.7%","42"
"Oldham, KY","70,183","5.1%","$439,039","18.3%","31"
"Bartholomew, IN","84,003","3.3%","$269,410","27.4%","43"
"Breathitt, KY","13,438","13.3%","$110,732","28.5%","83"
"Leslie, KY","10,261","15.4%","$77,332","0.0%","193"
"Rockcastle, KY","16,144","10.3%","$167,245","27.5%","44"
"Murray, GA","40,282","3.8%","$241,356","21.8%","61"
"Gordon, GA","58,336","2.5%","$274,905","23.9%","52"
"Whitfield, GA","103,687","4.1%","$248,243","18.2%","59"
"Catoosa, GA","68,910","1.4%","$290,237","34.1%","51"
"Green, KY","11,278","10.6%","$172,158","16.0%","66"
"Barren, KY","44,670","7.2%","$205,226","23.8%","64"
"Edmonson, KY","12,243","8.5%","$196,118","18.6%","68"
"Wheeler, GA","7,434","7.6%","$134,735","36.3%","121"
"Atkinson, GA","8,261","-3.9%","$104,245","80.0%","45"
"Lanier, GA","10,094","4.2%","$206,211","17.3%","52"
"Twiggs, GA","7,869","-2.5%","$94,369","22.2%","57"
"Barrow, GA","92,792","1.6%","$352,916","21.6%","45"
"Hall, GA","217,267","1.1%","$393,256","31.8%","52"
"Dougherty, GA","82,645","-1.4%","$121,536","14.7%","95"
"Schley, GA","4,539","1.2%","$182,350","0.0%","27"
"Terrell, GA","8,941","5.4%","$109,741","23.5%","32"
"Chambers, AL","34,450","2.9%","$134,357","36.0%","54"
"Crenshaw, AL","13,144","3.1%","$125,716","40.0%","75"
"Blount, TN","141,456","3.2%","$380,882","31.5%","52"
"Blount, AL","59,292","3.0%","$234,208","25.3%","56"
"Bay, FL","190,769","-4.3%","$349,487","26.6%","79"
"Vanderburgh, IN","179,810","4.5%","$193,013","26.9%","39"
"Sangamon, IL","193,491","3.2%","$184,533","19.1%","32"
"Bond, IL","16,627","1.8%","$152,487","19.0%","56"
"Menard, IL","12,169","3.3%","$197,094","10.5%","41"
"McCracken, KY","67,428","9.7%","$189,223","26.1%","52"
"Crockett, TN","13,937","5.0%","$177,688","25.3%","86"
"New Madrid, MO","16,041","1.1%","$96,797","7.1%","71"
"St. Bernard, LA","44,172","-1.2%","$211,599","26.4%","75"
"Stone, MS","18,515","6.5%","$194,639","16.3%","57"
"Ocean, NJ","659,197","4.9%","$527,232","19.6%","41"
"Berks, PA","432,821","5.5%","$300,440","13.5%","21"
"York, PA","464,640","4.6%","$295,531","15.7%","30"
"York, SC","298,320","0.5%","$395,070","33.8%","46"
"York, VA","70,952","3.5%","$453,608","14.9%","25"
"James City, VA","82,654","4.7%","$482,136","21.8%","37"
"Bertie, NC","17,482","-8.8%","$60,468","23.0%","101"
"Onslow, NC","213,676","2.6%","$282,218","19.5%","51"
"Lunenburg, VA","11,990","2.3%","$137,060","21.6%","51"
"Pender, NC","68,521","1.4%","$434,687","20.9%","50"
"Albemarle, VA","115,676","4.5%","$549,397","17.1%","42"
"Mineral, WV","26,922","5.3%","$189,439","28.9%","50"
"Indiana, PA","83,094","3.0%","$153,154","21.4%","58"
"Garrett, MD","28,713","1.7%","$335,387","18.3%","62"
"Preston, WV","34,204","6.1%","$135,564","9.1%","49"
"Pocahontas, WV","7,855","7.8%","$173,658","8.2%","87"
"Beaver, PA","165,631","0.7%","$185,488","20.7%","43"
"Kanawha, WV","174,805","5.7%","$147,597","13.2%","44"
"Johnston, NC","241,955","-0.9%","$345,390","26.4%","56"
"Sampson, NC","59,245","0.8%","$140,163","17.0%","55"
"Wake, NC","1,190,275","-0.2%","$498,476","32.0%","43"
"Pittsylvania, VA","60,148","1.5%","$185,957","16.3%","39"
"Rockbridge, VA","22,578","3.2%","$307,610","10.0%","63"
"Alamance, NC","179,165","1.5%","$291,545","20.3%","50"
"Buena Vista, VA","6,612","3.7%","$172,381","38.0%","51"
"Rockingham, VA","86,568","2.6%","$353,332","10.7%","41"
"Rockingham, NC","92,518","1.3%","$187,775","21.8%","56"
"Martinsville, VA","13,584","14.2%","$112,031","0.0%","6"
"Craig, VA","4,881","5.9%","$222,674","22.2%","82"
"Stokes, NC","44,889","4.7%","$238,921","21.1%","53"
"Cabarrus, NC","240,016","0.0%","$387,279","30.7%","43"
"Wythe, VA","28,219","2.2%","$199,706","16.0%","61"
"Spartanburg, SC","356,698","2.0%","$274,851","28.5%","44"
"Yancey, NC","18,676","2.9%","$312,975","24.6%","54"
"Horry, SC","397,478","-2.7%","$321,582","27.9%","68"
"Dillon, SC","28,031","-0.0%","$123,714","10.9%","80"
"Darlington, SC","62,754","2.2%","$139,521","14.3%","58"
"Evans, GA","10,740","-3.5%","$153,607","12.5%","51"
"Emanuel, GA","22,961","2.7%","$125,838","15.6%","52"
"McDuffie, GA","21,687","-0.4%","$180,876","8.7%","61"
"Pasco, FL","632,996","-4.3%","$340,526","35.4%","57"
"Palm Beach, FL","1,533,801","-3.4%","$477,350","26.5%","74"
"Glades, FL","12,324","0.7%","$267,648","15.7%","66"
"Greenup, KY","35,639","9.0%","$147,427","19.4%","46"
"Jay, IN","20,281","5.9%","$154,337","19.5%","41"
"Wabash, IL","11,199","7.5%","$121,664","21.0%","74"
"Hendricks, IN","186,387","1.3%","$341,491","29.8%","39"
"Magoffin, KY","11,495","21.9%","$135,845","18.1%","38"
"Cocke, TN","36,503","5.0%","$227,256","33.4%","65"
"Owsley, KY","4,021","15.5%","$144,046","0.0%","84"
"Boyle, KY","30,708","7.1%","$230,503","28.5%","58"
"Grundy, TN","13,665","4.2%","$192,871","23.8%","57"
"Trousdale, TN","11,805","0.3%","$338,205","25.3%","48"
"Ben Hill, GA","17,138","0.5%","$115,966","32.0%","60"
"Suwannee, FL","44,484","2.7%","$265,405","22.8%","81"
"Leon, FL","296,913","-1.0%","$292,765","21.8%","43"
"Wakulla, FL","34,608","-0.3%","$290,813","15.4%","48"
"Seminole, FL","484,271","-1.9%","$411,897","35.1%","54"
"Seminole, GA","9,117","-6.4%","$125,193","8.6%","74"
"Vigo, IN","106,153","6.7%","$157,064","23.8%","33"
"Edwards, IL","6,118","-2.1%","$116,142","40.0%","60"
"Maury, TN","110,760","0.8%","$407,196","25.8%","49"
"Muhlenberg, KY","30,712","14.2%","$145,087","29.4%","66"
"Colbert, AL","57,648","2.9%","$194,927","24.7%","62"
"Gallatin, KY","8,749","5.1%","$229,945","21.0%","39"
"Gallatin, IL","4,857","-2.7%","$87,527","0.0%","65"
"Pope, IL","3,757","-8.9%","$170,967","0.0%","65"
"Tuscaloosa, AL","237,373","1.3%","$228,238","14.8%","57"
"Oktibbeha, MS","51,473","5.2%","$272,250","16.3%","65"
"Pontotoc, MS","31,312","4.7%","$188,701","21.6%","77"
"Leake, MS","21,288","5.5%","$163,164","12.5%","55"
"Jefferson Davis, MS","11,183","4.7%","$91,807","27.5%","95"
"Baldwin, GA","43,669","1.4%","$205,511","27.2%","69"
"Baldwin, AL","253,507","0.2%","$385,568","22.4%","68"
"Queens, NY","2,252,196","3.9%","$719,164","9.0%","63"
"New York, NY","1,597,451","3.9%","$1,178,085","11.5%","60"
"Dauphin, PA","289,234","4.4%","$267,893","20.2%","30"
"District of Columbia, DC","678,972","-3.0%","$616,688","23.5%","44"
"Juniata, PA","23,419","2.4%","$224,548","10.0%","64"
"Arlington, VA","234,162","3.4%","$847,403","25.4%","28"
"Fredericksburg, VA","28,383","3.3%","$466,331","17.2%","24"
"Huntingdon, PA","43,844","1.5%","$174,012","22.7%","36"
"Pasquotank, NC","40,830","5.0%","$261,181","17.1%","36"
"Norfolk, VA","230,930","1.4%","$304,330","34.3%","33"
"Pamlico, NC","12,315","2.7%","$260,387","25.8%","61"
"New Kent, VA","24,139","3.4%","$426,869","18.1%","46"
"Southampton, VA","17,988","4.8%","$254,609","40.0%","51"
"Edgecombe, NC","48,777","-3.1%","$135,378","18.6%","63"
"Colonial Heights, VA","18,210","2.9%","$280,567","13.5%","41"
"Emporia, VA","5,633","3.3%","$143,146","0.0%","47"
"Powhatan, VA","31,074","5.2%","$478,110","18.6%","32"
"Fluvanna, VA","27,764","3.8%","$371,750","17.6%","34"
"Brunswick, VA","15,868","-10.4%","$128,291","18.6%","52"
"Brunswick, NC","159,964","0.1%","$411,767","27.1%","57"
"Allegheny, PA","1,224,825","1.9%","$237,269","21.1%","46"
"Tyler, WV","8,181","4.0%","$106,163","0.0%","54"
"Mecklenburg, NC","1,163,701","0.2%","$429,359","29.6%","43"
"Mecklenburg, VA","30,431","5.7%","$204,453","15.5%","54"
"Appomattox, VA","16,424","2.1%","$274,991","21.6%","52"
"Robeson, NC","117,365","-0.1%","$128,898","20.3%","60"
"Amherst, VA","31,385","3.4%","$253,880","20.6%","50"
"Anson, NC","21,903","-3.5%","$131,186","23.5%","79"
"Iredell, NC","199,710","0.8%","$385,522","30.1%","48"
"Alleghany, VA","14,962","5.4%","$168,350","35.4%","46"
"Alleghany, NC","11,075","4.0%","$268,725","14.8%","61"
"Alexander, IL","5,042","-5.4%","$61,724","0.0%","114"
"Alexander, NC","36,440","4.5%","$254,775","32.6%","62"
"Wyoming, WV","20,948","0.3%","$54,095","0.0%","35"
"Buncombe, NC","275,901","1.2%","$473,987","36.2%","46"
"Orangeburg, SC","82,820","-1.6%","$148,353","20.3%","78"
"McIntosh, GA","11,187","1.4%","$257,758","16.2%","53"
"Screven, GA","14,057","0.9%","$170,669","25.0%","65"
"Jenkins, GA","8,674","12.1%","$154,179","28.5%","87"
"Broward, FL","1,962,531","-1.8%","$439,398","24.3%","76"
"Miami-Dade, FL","2,686,867","0.7%","$535,217","18.8%","79"
"Carter, TN","56,462","3.6%","$234,791","34.1%","51"
"Carter, KY","26,515","14.1%","$155,209","17.3%","44"
"Lewis, WV","16,808","0.7%","$126,782","20.0%","46"
"Lewis, TN","12,784","1.1%","$235,584","32.8%","67"
"Lewis, KY","13,028","4.6%","$113,355","16.0%","61"
"Menifee, KY","6,203","12.0%","$166,869","16.3%","47"
"Bath, VA","4,123","2.2%","$210,492","23.5%","75"
"Bath, KY","12,812","10.0%","$176,043","25.0%","51"
"Robertson, TN","76,776","-0.1%","$375,404","26.1%","36"
"Robertson, KY","2,239","6.4%","$175,432","0.0%","73"
"Darke, OH","51,655","6.9%","$202,136","28.7%","48"
"Blackford, IN","12,007","7.5%","$129,131","50.0%","49"
"Decatur, GA","29,118","-4.9%","$152,972","19.0%","81"
"Decatur, TN","11,499","0.3%","$162,472","15.3%","87"
"Decatur, IN","26,411","4.7%","$244,457","34.5%","45"
"Jennings, IN","27,584","3.3%","$214,045","32.4%","43"
"Tippecanoe, IN","188,792","5.1%","$291,810","20.5%","29"
"Estill, KY","14,079","8.2%","$130,648","11.1%","51"
"Loudon, TN","56,996","1.9%","$424,391","37.0%","60"
"Bradley, TN","111,579","2.6%","$314,760","30.7%","54"
"Rhea, TN","33,299","3.6%","$252,137","25.8%","60"
"Adair, KY","19,016","9.3%","$166,557","19.3%","65"
"Elbert, GA","19,725","3.2%","$162,760","16.2%","58"
"Taliaferro, GA","1,740","-1.9%","$154,694","0.0%","198"
"Irwin, GA","9,385","-1.1%","$134,824","14.8%","77"
"Bleckley, GA","12,414","4.1%","$165,795","14.2%","52"
"Spalding, GA","69,946","-1.1%","$237,353","27.0%","55"
"Coweta, GA","155,892","-0.4%","$399,548","25.0%","57"
"Early, GA","10,683","0.5%","$114,285","23.5%","64"
"Chattahoochee, GA","9,181","5.7%","$128,549","0.0%","51"
"Paulding, GA","183,164","-1.6%","$349,279","35.3%","45"
"Barbour, WV","15,454","-1.0%","$118,149","36.3%","53"
"Barbour, AL","24,757","-0.8%","$149,969","16.1%","86"
"Posey, IN","25,163","5.7%","$232,004","18.7%","55"
"Trigg, KY","14,211","-1.8%","$145,521","25.6%","76"
"Lyon, KY","8,831","10.5%","$172,987","27.5%","77"
"Saline, IL","23,387","-5.2%","$96,084","20.6%","48"
"Weakley, TN","32,959","4.9%","$179,075","30.5%","50"
"Mississippi, MO","12,079","1.1%","$98,589","10.5%","82"
"Walker, GA","69,489","1.1%","$231,170","28.1%","54"
"Walker, AL","64,886","-0.6%","$114,733","18.6%","66"
"Marengo, AL","19,027","-6.1%","$137,792","9.7%","92"
"Bronx, NY","1,356,476","3.7%","$481,196","11.7%","69"
"Sussex, DE","263,509","0.5%","$494,424","21.6%","57"
"Sussex, VA","10,793","-1.9%","$171,928","15.3%","47"
"Hunterdon, NJ","130,183","4.2%","$627,499","9.3%","26"
"Worcester, MD","53,279","-0.6%","$432,087","22.7%","64"
"Talbot, GA","5,753","-1.7%","$169,513","34.7%","40"
"Talbot, MD","37,707","3.0%","$498,693","18.4%","51"
"Anne Arundel, MD","594,582","2.5%","$509,634","20.4%","24"
"Fauquier, VA","75,165","5.2%","$631,196","21.3%","31"
"Dare, NC","37,534","-0.4%","$612,495","22.6%","71"
"Northampton, PA","319,091","3.7%","$355,386","23.1%","19"
"Northampton, NC","17,212","3.3%","$112,745","21.4%","49"
"Northampton, VA","12,115","2.6%","$299,675","12.9%","77"
"Hyde, NC","4,625","1.5%","$203,095","8.6%","67"
"Perquimans, NC","13,146","5.1%","$264,764","27.4%","73"
"Hertford, NC","20,492","-6.9%","$113,646","18.6%","53"
"Duplin, NC","49,053","4.1%","$183,626","26.0%","78"
"Hardy, WV","14,236","2.7%","$209,132","13.3%","38"
"Waynesboro, VA","22,574","3.0%","$278,544","11.1%","37"
"Monongalia, WV","107,718","1.4%","$253,160","15.5%","40"
"Columbiana, OH","100,182","2.7%","$153,669","23.4%","52"
"Doddridge, WV","7,767","3.6%","$122,378","57.1%","22"
"Ritchie, WV","8,372","2.8%","$120,254","34.7%","78"
"Guernsey, OH","38,283","2.6%","$154,048","18.0%","47"
"Wood, WV","83,052","3.5%","$166,046","28.0%","38"
"Boyd, KY","48,043","7.4%","$131,584","20.7%","54"
"Prince Edward, VA","21,932","-3.0%","$228,782","12.1%","67"
"Durham, NC","336,892","-0.2%","$410,953","29.7%","42"
"Botetourt, VA","33,875","2.8%","$299,014","28.1%","38"
"Greenbrier, WV","32,688","5.7%","$197,559","16.7%","52"
"Patrick, VA","17,606","-2.8%","$190,962","33.8%","48"
"Galax, VA","6,698","7.8%","$160,301","27.5%","57"
"Raleigh, WV","72,356","6.7%","$151,912","17.0%","44"
"Catawba, NC","164,645","2.4%","$286,961","27.7%","49"
"McDowell, NC","44,679","1.9%","$256,909","27.4%","53"
